Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,MeanRoomsSquare,AreaRatio,MonthSale,AgeBuilding,WeekdaySale
Abbotsford,85 Turner St,2,h,1480000.0,S,Biggin,2016-12-03,2.5,3067,2,1,1,202.0,126.0,Yarra,-37.7996,144.9984,Northern Metropolitan,4019,25.2,-0.23170731707317074,12,46,5
Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,2016-02-04,2.5,3067,2,1,0,156.0,79.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019,15.8,-0.3276595744680851,2,116,3
Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,2017-03-04,2.5,3067,3,2,0,134.0,150.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019,18.75,0.056338028169014086,3,117,5
Abbotsford,40 Federation La,3,h,850000.0,PI,Biggin,2017-03-04,2.5,3067,3,2,1,94.0,126.0,Yarra,-37.7969,144.9969,Northern Metropolitan,4019,15.75,0.14545454545454545,3,47,5
Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,2016-06-04,2.5,3067,3,1,2,120.0,142.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019,17.75,0.08396946564885496,6,2,5
Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,2016-05-07,2.5,3067,2,1,0,181.0,126.0,Yarra,-37.8041,144.9953,Northern Metropolitan,4019,25.2,-0.1791530944625407,5,46,5
Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,2016-05-07,2.5,3067,4,2,0,245.0,210.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019,23.333333333333332,-0.07692307692307693,5,106,5
Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,2016-10-08,2.5,3067,2,1,2,256.0,107.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019,21.4,-0.41046831955922863,10,126,5
Abbotsford,6/241 Nicholson St,1,u,300000.0,S,Biggin,2016-10-08,2.5,3067,1,1,1,0.0,126.0,Yarra,-37.8008,144.9973,Northern Metropolitan,4019,42.0,1.0,10,46,5
Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,2016-10-08,2.5,3067,3,1,2,220.0,75.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019,12.5,-0.4915254237288136,10,116,5
Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,2016-11-12,2.5,3067,2,2,1,0.0,126.0,Yarra,-37.811,145.0067,Northern Metropolitan,4019,21.0,1.0,11,46,5
Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,2016-11-12,2.5,3067,3,2,2,214.0,190.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019,23.75,-0.0594059405940594,11,11,5
Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,2016-11-12,2.5,3067,2,2,1,0.0,94.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,15.666666666666666,1.0,11,7,5
Abbotsford,45 William St,2,h,1172500.0,S,Biggin,2016-08-13,2.5,3067,2,1,1,195.0,126.0,Yarra,-37.8084,144.9973,Northern Metropolitan,4019,25.2,-0.21495327102803738,8,46,5
Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,2016-05-14,2.5,3067,1,1,1,0.0,126.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019,42.0,1.0,5,46,5
Abbotsford,16 William St,2,h,1310000.0,S,Jellis,2016-10-15,2.5,3067,2,1,2,238.0,97.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019,19.4,-0.4208955223880597,10,126,5
Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,2016-07-16,2.5,3067,3,2,1,113.0,110.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019,13.75,-0.013452914798206279,7,136,5
Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,2016-07-16,2.5,3067,2,1,1,138.0,105.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019,17.5,-0.13580246913580246,7,126,5
Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,2016-09-17,2.5,3067,3,1,0,183.0,126.0,Yarra,-37.8022,144.9975,Northern Metropolitan,4019,18.0,-0.18446601941747573,9,46,5
Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,2016-09-17,2.5,3067,2,1,1,150.0,73.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019,14.6,-0.3452914798206278,9,31,5
Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,2017-03-18,2.5,3067,4,2,2,780.0,135.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019,13.5,-0.7049180327868853,3,117,5
Abbotsford,13/11 Nicholson St,3,t,900000.0,S,Beller,2017-03-18,2.5,3067,3,2,2,0.0,126.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019,15.75,1.0,3,7,5
